# CSV-File created with merge-csv.com
# -----------------------------------------------------------

Nagaland,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Odisha,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Uttar Pradesh,2010,HR_Disappearance of Persons,01. Disappearance of Persons,1,5,0
West Bengal,2010,HR_Disappearance of Persons,01. Disappearance of Persons,0,0,0
Andhra Pradesh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,2,1,0
Arunachal Pradesh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Assam,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Bihar,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Chandigarh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Chhattisgarh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Gujarat,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Haryana,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,0,0
Himachal Pradesh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Jammu & Kashmir,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Jharkhand,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Karnataka,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,2,4,0
Maharashtra,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,0,0
Meghalaya,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Nagaland,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Odisha,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,2,0
Rajasthan,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,NULL,NULL
Uttar Pradesh,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,NULL,NULL
West Bengal,2001,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Andhra Pradesh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,0,0
Assam,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Bihar,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Chandigarh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,NULL,0,0
Chhattisgarh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Daman & Diu,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Gujarat,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Haryana,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Himachal Pradesh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Jammu & Kashmir,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Karnataka,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,2,0,0
Madhya Pradesh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Maharashtra,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,1,4,0
Meghalaya,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Nagaland,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Odisha,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Punjab,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Uttar Pradesh,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,5,NULL,NULL
West Bengal,2002,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Andhra Pradesh,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Arunachal Pradesh,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,3,0,0
Assam,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Bihar,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Chandigarh,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
Chhattisgarh,2003,HR_Illegal detention/arrests,02. Illegal Detention/Arrests,0,0,0
